state,district,district_code,population_2011,literacy_rate_pct,rural_households,urban_households,estimated_diabetic_population,estimated_annual_screening_demand,estimated_screening_capacity,capacity_gap,priority_score,priority,screening_capacity_utilization_pct
MANIPUR,Thoubal,276,422168,63.79071838699285,65961,38302,33773,20264,16887,3377,3.8,Low,120.0
JAMMU AND KASHMIR,Doda,16,409936,53.443220405136415,122267,11350,32795,19677,16397,3280,3.7,Low,120.0
MIZORAM,Aizawl,283,400309,85.08302336445097,20570,80341,32025,19215,16012,3203,3.6,Low,120.0
MEGHALAYA,Jaintia Hills,299,395124,47.46029094663954,76546,7171,31610,18966,15805,3161,3.6,Low,120.0
JAMMU AND KASHMIR,Bandipore,9,392232,47.41556017866977,80521,17555,31379,18827,15689,3138,3.5,Low,120.0
UTTARAKHAND,Chamoli,57,391605,71.6425990475096,163434,22906,31328,18797,15664,3133,3.5,Low,120.0
MEGHALAYA,West Khasi Hills,296,383461,60.15683472373984,74832,12299,30677,18406,15338,3068,3.5,Low,120.0
HIMACHAL PRADESH,Bilaspur,30,381956,75.3018672307805,152458,11987,30556,18334,15278,3056,3.5,Low,120.0
NAGALAND,Dimapur,265,378811,73.39728782955089,49116,62853,30305,18183,15152,3031,3.4,Low,120.0
TRIPURA,Dhalai,291,378230,73.0288448827433,89457,14071,30258,18155,15129,3026,3.4,Low,120.0
DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,496,343709,64.94738281511395,48221,60562,27497,16498,13748,2750,3.1,Low,120.0
UTTARAKHAND,Uttarkashi,56,330086,65.17271256581618,112148,9061,26407,15844,13203,2641,3.0,Low,120.0
JAMMU AND KASHMIR,Samba,22,318898,71.53980269553274,94247,19989,25512,15307,12756,2551,2.9,Low,120.0
MEGHALAYA,East Garo Hills,294,317917,60.439359958731366,62698,11518,25433,15260,12717,2543,2.9,Low,120.0
JAMMU AND KASHMIR,Reasi,20,314667,47.84168660838283,95572,12261,25173,15104,12587,2517,2.8,Low,120.0
ORISSA,Debagarh,373,312520,63.29802892614873,91408,7350,25002,15001,12501,2500,2.8,Low,120.0
JAMMU AND KASHMIR,Ganderbal,11,297446,48.168743234066014,63788,13558,23796,14278,11898,2380,2.7,Low,120.0
JAMMU AND KASHMIR,Ramban,17,283713,43.72905013164712,84281,5341,22697,13618,11349,2269,2.6,Low,120.0
SIKKIM,East District,244,283583,75.57893103606351,40626,41512,22687,13612,11343,2269,2.6,Low,120.0
MANIPUR,Churachandpur,274,274143,71.4718230996232,52972,4853,21931,13159,10966,2193,2.5,Low,120.0
NAGALAND,Kohima,270,267988,73.69322506977925,31845,44255,21439,12863,10720,2143,2.4,Low,120.0
JAMMU AND KASHMIR,Shupiyan,13,266215,51.27434592340777,75616,5272,21297,12778,10649,2129,2.4,Low,120.0
UTTARAKHAND,Bageshwar,63,259898,69.0590154599112,96031,3880,20792,12475,10396,2079,2.3,Low,120.0
UTTARAKHAND,Champawat,65,259648,68.44882302193739,85202,12839,20772,12463,10386,2077,2.3,Low,120.0
MEGHALAYA,Ribhoi,297,258840,60.214418173388964,57988,5736,20707,12424,10354,2070,2.3,Low,120.0
CHHATTISGARH,Bijapur,417,255230,34.05516592877013,50449,7942,20418,12251,10209,2042,2.3,Low,120.0
NAGALAND,Mon,261,250260,47.80068728522337,43607,7415,20021,12013,10010,2003,2.3,Low,120.0
UTTARAKHAND,Rudraprayag,58,242285,70.55038487731392,112705,4454,19383,11630,9691,1939,2.2,Low,120.0
ANDAMAN AND NICOBAR ISLANDS,South Andaman,640,238142,79.89602842001831,34901,50631,19051,11431,9526,1905,2.2,Low,120.0
MANIPUR,Bishnupur,275,237399,65.85242566312411,34977,21172,18992,11395,9496,1899,2.1,Low,120.0
JAMMU AND KASHMIR,Kishtwar,18,230696,46.60072129555779,72378,5993,18456,11074,9228,1846,2.1,Low,120.0
GUJARAT,The Dangs,489,228291,61.749258621671466,52102,7516,18263,10958,9132,1826,2.1,Low,120.0
ASSAM,Dima Hasao,315,214102,65.79714341762337,37610,21309,17128,10277,8564,1713,1.9,Low,120.0
PONDICHERRY,Karaikal,637,200222,77.3721169501853,35618,33715,16018,9611,8009,1602,1.8,Low,120.0
NAGALAND,Tuensang,267,196596,59.77283362835459,40690,9451,15728,9437,7864,1573,1.8,Low,120.0
NAGALAND,Mokokchung,262,194622,81.95065306080505,37536,17742,15570,9342,7785,1557,1.8,Low,120.0
DAMAN AND DIU,Daman,495,191173,78.64499693994445,10006,61073,15294,9176,7647,1529,1.7,Low,120.0
MANIPUR,Ukhrul,279,183998,70.56000608702269,36084,5806,14720,8832,7360,1472,1.7,Low,120.0
ARUNACHAL PRADESH,Papum Pare,248,176573,68.55408244748631,20308,30180,14126,8476,7063,1413,1.6,Low,120.0
NAGALAND,Wokha,264,166343,77.07447863751405,38499,8170,13307,7984,6654,1330,1.5,Low,120.0
NAGALAND,Phek,266,163418,64.79885936677722,38903,7295,13073,7844,6537,1307,1.5,Low,120.0
MIZORAM,Lunglei,286,161428,75.03159303218773,21479,17315,12914,7748,6457,1291,1.5,Low,120.0
ARUNACHAL PRADESH,Changlang,253,148226,49.3665079000985,33422,6498,11858,7115,5929,1186,1.3,Low,120.0
SIKKIM,South District,243,146850,72.68709567585972,31135,8163,11748,7049,5874,1175,1.3,Low,120.0
ARUNACHAL PRADESH,Lohit,259,145726,56.998751080795465,33599,11372,11658,6995,5829,1166,1.3,Low,120.0
MANIPUR,Chandel,280,144182,62.630564148090606,30377,3783,11535,6921,5767,1154,1.3,Low,120.0
MEGHALAYA,South Garo Hills,295,142334,57.654530892126964,35930,3713,11387,6832,5693,1139,1.3,Low,120.0
