state,district,district_code,population_2011,literacy_rate_pct,rural_households,urban_households,estimated_diabetic_population,estimated_annual_screening_demand,estimated_screening_capacity,capacity_gap,priority_score,priority,screening_capacity_utilization_pct
NCT OF DELHI,New Delhi,94,142004,80.40548153573138,0,52664,11360,6816,5680,1136,1.3,Low,120.0
JAMMU AND KASHMIR,Kargil,4,140802,61.246289115211425,40370,7774,11264,6758,5632,1126,1.3,Low,120.0
NAGALAND,Zunheboto,263,140757,73.09121393607423,31267,6044,11261,6757,5630,1127,1.3,Low,120.0
MANIPUR,Tamenglong,273,140651,60.43753688206981,23982,4119,11252,6751,5626,1125,1.3,Low,120.0
CHHATTISGARH,Narayanpur,415,139820,40.495637247890144,26916,6179,11186,6712,5593,1119,1.3,Low,120.0
SIKKIM,West District,242,136435,68.48096163008026,32091,1886,10915,6549,5457,1092,1.2,Low,120.0
JAMMU AND KASHMIR,Leh(Ladakh),3,133487,70.24654086165694,36920,17474,10679,6407,5339,1068,1.2,Low,120.0
MIZORAM,Champhai,284,125745,80.16382361127678,18395,12717,10060,6036,5030,1006,1.1,Low,120.0
MIZORAM,Lawngtlai,287,117894,53.31993146385736,21993,5273,9432,5659,4716,943,1.1,Low,120.0
ARUNACHAL PRADESH,West Siang,250,112274,57.66784829969539,22272,8503,8982,5389,4491,898,1.0,Low,120.0
ARUNACHAL PRADESH,Tirap,254,111975,42.843491850859564,18420,6500,8958,5375,4479,896,1.0,Low,120.0
ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,639,105597,74.51253350000474,39091,1094,8448,5069,4224,845,1.0,Low,120.0
ARUNACHAL PRADESH,East Siang,251,99214,63.07174390710988,19497,9524,7937,4762,3969,793,0.9,Low,120.0
NAGALAND,Peren,271,95219,65.32729812327372,20204,4073,7618,4571,3809,762,0.9,Low,120.0
ARUNACHAL PRADESH,Kurung Kumey,256,92076,39.756288283591815,18603,1092,7366,4420,3683,737,0.8,Low,120.0
MIZORAM,Mamit,281,86364,69.69454865453199,16726,4129,6909,4145,3455,690,0.8,Low,120.0
HIMACHAL PRADESH,Kinnaur,34,84121,72.15677417054005,44514,0,6730,4038,3365,673,0.8,Low,120.0
MIZORAM,Kolasib,282,83955,78.48847596926926,9669,12507,6716,4030,3358,672,0.8,Low,120.0
ARUNACHAL PRADESH,West Kameng,246,83947,57.76501840446948,17889,6306,6716,4030,3358,672,0.8,Low,120.0
ARUNACHAL PRADESH,Upper Subansiri,249,83448,54.25893969897421,14542,4672,6676,4006,3338,668,0.8,Low,120.0
ARUNACHAL PRADESH,Lower Subansiri,255,83030,65.1053835962905,18112,5365,6642,3985,3321,664,0.8,Low,120.0
ARUNACHAL PRADESH,East Kameng,247,78690,48.861354682933026,14503,5215,6295,3777,3148,629,0.7,Low,120.0
NAGALAND,Kiphire,269,74004,55.71590724825685,16032,4290,5920,3552,2960,592,0.7,Low,120.0
MIZORAM,Serchhip,285,64937,83.89054006190617,7472,8018,5195,3117,2597,520,0.6,Low,120.0
LAKSHADWEEP,Lakshadweep,587,64473,81.51164053169543,5289,15953,5158,3095,2579,516,0.6,Low,120.0
MIZORAM,Saiha,288,56574,74.650899706579,7043,5784,4526,2716,2263,453,0.5,Low,120.0
PONDICHERRY,Yanam,634,55626,70.60367454068242,0,15519,4450,2670,2225,445,0.5,Low,120.0
ARUNACHAL PRADESH,Lower Dibang Valley,258,54080,58.89238165680474,12000,3950,4326,2596,2163,433,0.5,Low,120.0
DAMAN AND DIU,Diu,494,52074,73.08445673464685,9788,9062,4166,2500,2083,417,0.5,Low,120.0
NAGALAND,Longleng,268,50484,59.14547183265986,12686,2451,4039,2423,2019,404,0.5,Low,120.0
ARUNACHAL PRADESH,Tawang,245,49977,52.169998199171616,10730,2452,3998,2399,1999,400,0.5,Low,120.0
SIKKIM,North  District,241,43709,69.66528632547073,11543,2066,3497,2098,1748,350,0.4,Low,120.0
PONDICHERRY,Mahe,636,41816,87.21541993495313,0,12110,3345,2007,1673,334,0.4,Low,120.0
ANDAMAN AND NICOBAR ISLANDS,Nicobars,638,36842,68.7584821670919,15958,0,2947,1768,1474,294,0.3,Low,119.9
ARUNACHAL PRADESH,Upper Siang,252,35320,51.514722536806346,8569,2182,2826,1696,1413,283,0.3,Low,120.0
HIMACHAL PRADESH,Lahul AND Spiti,25,31564,69.20859206691166,17434,0,2525,1515,1263,252,0.3,Low,120.0
ARUNACHAL PRADESH,Anjaw,260,21167,47.19610714791893,6025,428,1693,1016,847,169,0.2,Low,120.0
ARUNACHAL PRADESH,Dibang Valley,257,8004,55.42228885557221,2055,1175,640,384,320,64,0.1,Low,120.0
